,Question,Group 1,Group 2,Mean Difference,Cohen's d,Eta-Squared
0,RC3B,0,8,0.4725,-0.9272597090627305,0.10017675143424484
1,RC4B,0,1,0.7088,-1.163346790045261,0.45179688910810223
2,RC4B,0,4,0.9581,-1.6114071239532481,0.45179688910810223
3,RC4B,0,8,1.478,-2.896353243230671,0.45179688910810223
4,RC4B,1,8,0.7692,-1.44663754306166,0.45179688910810223
5,RC4B,4,8,0.5199,-0.95593770239055,0.45179688910810223
6,RC5B,4,8,0.9085,-1.0813069339583512,0.17448317038169683
7,RC6B,0,8,0.9231,-0.9504043378553828,0.1337182087689187
8,RC7B,0,8,0.6044,-0.926360197482692,0.15512829862855385
9,RC7B,1,8,0.6923,-1.0957742257628416,0.15512829862855385
0,RC5B,4,8,0.9085,-1.0813069339583512,0.17448317038169683
1,RC6B,0,8,0.9231,-0.9504043378553828,0.1337182087689187
2,RC7B,0,8,0.6044,-0.926360197482692,0.15512829862855385
3,RC7B,1,8,0.6923,-1.0957742257628416,0.15512829862855385
