Question,Group 1,Group 2,Mean Difference,p-adj,Reject Null?,Cohen's d
RC3B,0,8,0.4725,0.0409,True,-0.9272597090627305
RC4B,0,1,0.7088,0.009,True,-1.163346790045261
RC4B,0,4,0.9581,0.0,True,-1.6114071239532481
RC4B,0,8,1.478,0.0,True,-2.896353243230671
RC4B,1,8,0.7692,0.0008,True,-1.44663754306166
RC4B,4,8,0.5199,0.0057,True,-0.95593770239055
RC5B,4,8,0.9085,0.0008,True,-1.0813069339583512
RC6B,0,8,0.9231,0.0104,True,-0.9504043378553828
RC7B,0,8,0.6044,0.0239,True,-0.926360197482692
RC7B,1,8,0.6923,0.009,True,-1.0957742257628416
RC5B,4,8,0.9085,0.0008,True,-1.0813069339583512
RC6B,0,8,0.9231,0.0104,True,-0.9504043378553828
RC7B,0,8,0.6044,0.0239,True,-0.926360197482692
RC7B,1,8,0.6923,0.009,True,-1.0957742257628416
