"Code","Session Group","Year","Site","RC1A","RC2A","RC3A","RC4A","RC5A","RC6A","RC7A","TotalA","RC1B","RC2B","RC3B","RC4B","RC5B","RC6B","RC7B","TotalB"
201905,8,2019,"JMU",5,4,4,4,4,4,4,29,5,5,5,5,5,5,5,35
201902,8,2019,"JMU",4,3,4,4,3,3,4,25,4,5,5,4,4,5,5,32
201908,8,2019,"JMU",3,3,4,3,3,2,4,22,5,5,5,5,4,4,5,33
201910,8,2019,"JMU",4,3,4,3,3,3,4,24,5,5,5,5,4,5,5,34
201911,8,2019,"JMU",3,3,4,2,3,4,4,23,4,4,4,4,4,3,4,27
201906,8,2019,"JMU",3,2,5,3,3,2,3,21,4,3,4,4,5,5,4,29
201903,8,2019,"JMU",4,2,2,3,2,2,3,18,4,3,4,4,2,3,4,24
201916,8,2019,"JMU",4,3,4,4,4,2,3,24,5,5,5,5,4,5,5,34
201913,8,2019,"JMU",3,3,4,3,4,2,2,21,5,4,4,5,4,5,4,31
201909,8,2019,"JMU",2,3,3,3,4,2,3,20,4,3,4,4,4,3,3,25
201919,8,2019,"JMU",4,3,3,4,4,4,4,26,5,4,5,5,5,5,4,33
201904,8,2019,"JMU",3,3,4,3,5,2,4,24,5,5,5,5,5,5,5,35
201921,8,2019,"JMU",3,3,2,4,4,3,4,23,4,4,4,5,4,4,5,30
201918,8,2019,"JMU",3,2,3,2,2,2,3,17,5,4,4,5,4,4,4,30
201912,8,2019,"JMU",3,1,2,1,3,1,2,13,5,4,5,5,5,5,5,34
201915,8,2019,"JMU",4,4,4,4,4,4,4,28,5,4,4,5,4,4,4,30
202046,0,2020,"JMU",2,1,2,1,3,1,1,11,5,4,4,3,3,4,4,27
202041,0,2020,"JMU",5,5,5,5,4,5,5,34,5,4,5,4,4,5,4,31
202036,0,2020,"JMU",3,3,4,2,3,4,3,22,4,4,4,3,4,2,4,25
202038,0,2020,"JMU",5,4,4,4,4,4,4,29,5,5,5,4,5,5,5,34
202026,0,2020,"JMU",5,4,5,4,4,5,4,31,4,4,4,3,4,4,4,27
202027,0,2020,"JMU",5,3,4,4,4,4,4,28,4,4,4,3,4,4,4,27
202034,0,2020,"JMU",2,3,2,3,4,2,2,18,4,4,4,3,4,4,4,27
202021,0,2020,"JMU",4,3,5,3,4,3,4,26,4,5,5,3,4,5,4,30
202031,0,2020,"JMU",4,2,2,2,2,2,2,26,4,4,4,3,3,4,4,26
202037,1,2020,"JMU",4,3,4,5,5,5,4,30,5,5,5,4,2,5,4,30
202042,1,2020,"JMU",5,3,4,4,3,3,4,26,5,4,5,4,4,4,4,30
202039,1,2020,"JMU",4,2,4,3,4,2,2,21,4,4,4,4,4,3,3,26
202033,1,2020,"JMU",4,3,5,4,3,4,4,27,5,5,5,5,4,5,5,34
202035,1,2020,"JMU",3,2,4,3,4,2,4,22,4,4,5,4,4,5,4,30
202023,1,2020,"JMU",4,2,2,2,4,1,3,18,4,2,4,4,4,4,3,25
202028,1,2020,"JMU",4,3,4,4,4,3,4,26,4,4,4,3,4,4,3,26
202022,1,2020,"JMU",4,3,4,3,4,3,3,24,4,4,4,3,4,4,3,26
202043,1,2020,"JMU",4,2,3,2,3,3,3,20,5,4,5,5,3,4,5,31
202040,1,2020,"JMU",4,3,4,4,4,2,3,24,4,4,4,4,3,4,4,27
202044,1,2020,"JMU",5,4,4,4,3,3,4,27,5,5,5,4,5,5,3,32
202024,1,2020,"JMU",4,3,4,2,4,3,4,24,4,4,5,4,4,3,4,28
202032,1,2020,"JMU",4,4,4,3,5,3,3,26,4,4,4,3,2,3,4,24
202103,4,2021,"CCLC",5,4,5,4,4,4,4,25,5,5,5,5,4,4,4,32
202104,4,2021,"CCLC",4,4,3,2,4,5,4,22,5,5,4,4,3,4,5,30
202105,4,2021,"CCLC",4,3,3,3,3,2,4,18,4,4,4,4,3,3,4,26
202106,4,2021,"CCLC",4,2,3,3,2,2,2,14,5,4,4,5,4,4,4,30
202109,4,2021,"CCLC",4,3,5,4,2,3,4,21,5,4,4,4,3,4,4,28
