"Code","Session Group","Year","Site","RC1A","RC2A","RC3A","RC4A","RC7A","TotalA","RC1B","RC2B","RC3B","RC4B","RC7B","TotalB"
201905,8,2019,"JMU",5,4,4,4,4,21,5,5,5,5,5,25
201902,8,2019,"JMU",4,3,4,4,4,19,4,5,5,4,5,23
201908,8,2019,"JMU",3,3,4,3,4,17,5,5,5,5,5,25
201910,8,2019,"JMU",4,3,4,3,4,18,5,5,5,5,5,25
201911,8,2019,"JMU",3,3,4,2,4,16,4,4,4,4,4,20
201906,8,2019,"JMU",3,2,5,3,3,16,4,3,4,4,4,19
201903,8,2019,"JMU",4,2,2,3,3,14,4,3,4,4,4,19
201916,8,2019,"JMU",4,3,4,4,3,18,5,5,5,5,5,25
201913,8,2019,"JMU",3,3,4,3,2,15,5,4,4,5,4,22
201909,8,2019,"JMU",2,3,3,3,3,14,4,3,4,4,3,18
201919,8,2019,"JMU",4,3,3,4,4,18,5,4,5,5,4,23
201904,8,2019,"JMU",3,3,4,3,4,17,5,5,5,5,5,25
201921,8,2019,"JMU",3,3,2,4,4,16,4,4,4,5,5,22
201918,8,2019,"JMU",3,2,3,2,3,13,5,4,4,5,4,22
201912,8,2019,"JMU",3,1,2,1,2,9,5,4,5,5,5,24
201915,8,2019,"JMU",4,4,4,4,4,20,5,4,4,5,4,22
202046,0,2020,"JMU",2,1,2,1,1,7,5,4,4,3,4,20
202041,0,2020,"JMU",5,5,5,5,5,25,5,4,5,4,4,22
202036,0,2020,"JMU",3,3,4,2,3,15,4,4,4,3,4,19
202038,0,2020,"JMU",5,4,4,4,4,21,5,5,5,4,5,24
202026,0,2020,"JMU",5,4,5,4,4,22,4,4,4,3,4,19
202027,0,2020,"JMU",5,3,4,4,4,20,4,4,4,3,4,19
202034,0,2020,"JMU",2,3,2,3,2,12,4,4,4,3,4,19
202021,0,2020,"JMU",4,3,5,3,4,19,4,5,5,3,4,21
202031,0,2020,"JMU",4,2,2,2,2,12,4,4,4,3,4,19
202037,1,2020,"JMU",4,3,4,5,4,20,5,5,5,4,4,23
202042,1,2020,"JMU",5,3,4,4,4,20,5,4,5,4,4,22
202039,1,2020,"JMU",4,2,4,3,2,15,4,4,4,4,3,19
202033,1,2020,"JMU",4,3,5,4,4,20,5,5,5,5,5,25
202035,1,2020,"JMU",3,2,4,3,4,16,4,4,5,4,4,21
202023,1,2020,"JMU",4,2,2,2,3,13,4,2,4,4,3,17
202028,1,2020,"JMU",4,3,4,4,4,19,4,4,4,3,3,18
202022,1,2020,"JMU",4,3,4,3,3,17,4,4,4,3,3,18
202043,1,2020,"JMU",4,2,3,2,3,14,5,4,5,5,5,24
202040,1,2020,"JMU",4,3,4,4,3,18,4,4,4,4,4,20
202044,1,2020,"JMU",5,4,4,4,4,21,5,5,5,4,3,22
202024,1,2020,"JMU",4,3,4,2,4,17,4,4,5,4,4,21
202032,1,2020,"JMU",4,4,4,3,3,18,4,4,4,3,4,19
202103,4,2021,"CCLC",5,4,5,4,4,22,5,5,5,5,4,24
202104,4,2021,"CCLC",4,4,3,2,4,17,5,5,4,4,5,23
202105,4,2021,"CCLC",4,3,3,3,4,17,4,4,4,4,4,20
202106,4,2021,"CCLC",4,2,3,3,2,14,5,4,4,5,4,22
202109,4,2021,"CCLC",4,3,5,4,4,20,5,4,4,4,4,21
202112,4,2021,"CCLC",2,2,3,2,2,11,4,4,5,5,4,22
202113,4,2021,"CCLC",3,3,4,3,3,16,4,5,5,4,5,23
202115,4,2021,"CCLC",4,3,3,2,3,15,4,4,4,4,4,20
202118,4,2021,"CCLC",4,3,4,3,4,18,5,4,4,4,4,21
202120,4,2021,"CCLC",4,3,4,3,4,18,4,4,4,4,4,20
202122,4,2021,"CCLC",4,3,3,3,3,16,5,4,5,5,5,24
202124,4,2021,"CCLC",5,3,4,4,3,19,4,4,4,4,4,20
202127,4,2021,"CCLC",5,4,4,3,3,19,4,4,5,4,4,21
202129,4,2021,"CCLC",3,3,4,2,2,14,5,4,5,5,4,23
202130,4,2021,"CCLC",5,4,5,4,5,23,5,5,5,5,5,25
202101,4,2021,"JMU",2,3,4,2,4,15,4,4,4,4,4,20
202102,4,2021,"JMU",3,3,4,3,4,17,4,5,5,4,5,23
202107,4,2021,"JMU",4,3,4,4,4,19,4,3,4,3,4,18
202108,4,2021,"JMU",5,3,3,3,3,17,4,4,5,4,4,21
202110,4,2021,"JMU",3,2,3,3,3,14,4,4,4,4,3,19
202114,4,2021,"JMU",4,2,3,2,4,15,5,4,4,5,4,22
202116,4,2021,"JMU",4,3,4,4,4,19,5,4,5,4,4,22
202117,4,2021,"JMU",3,3,2,3,3,14,4,4,4,4,4,20
202119,4,2021,"JMU",4,2,3,2,3,14,4,4,4,4,3,19
202121,4,2021,"JMU",4,3,4,4,4,19,4,4,4,3,5,20
202123,4,2021,"JMU",5,2,5,5,5,22,5,5,5,5,5,25
202125,4,2021,"JMU",4,3,4,3,3,17,4,4,4,3,4,19
202126,4,2021,"JMU",5,5,5,5,4,24,4,3,3,4,4,18
202128,4,2021,"JMU",4,2,3,3,3,15,5,4,4,4,4,21
202301,8,2023,"Canterbury",5,3,4,4,4,20,4,4,5,4,4,21
202302,8,2023,"Canterbury",3,2,3,3,3,14,5,4,5,5,5,24
202303,8,2023,"Canterbury",4,3,4,3,3,17,5,5,5,5,5,25
202304,8,2023,"Canterbury",3,3,3,3,4,16,4,4,4,4,4,20
202305,8,2023,"Canterbury",4,3,3,4,4,18,4,4,5,4,4,21
202306,8,2023,"Canterbury",4,3,4,4,3,18,5,5,5,5,5,25
202307,8,2023,"Canterbury",4,3,4,3,3,17,5,5,5,5,4,24
202308,8,2023,"Canterbury",4,3,3,4,4,18,5,4,4,5,5,23
202309,8,2023,"Canterbury",3,3,4,3,4,17,5,4,5,5,4,23
202310,8,2023,"Canterbury",3,3,4,4,4,18,5,5,5,5,5,25
202311,0,2023,"JMU",2,1,1,1,3,8,4,3,4,2,2,15
202312,0,2023,"JMU",3,3,3,3,3,15,5,4,4,4,3,20
202313,0,2023,"JMU",4,3,3,3,3,16,5,4,4,4,5,22
202315,0,2023,"JMU",4,2,2,2,3,13,4,3,4,3,4,18
202316,0,2023,"JMU",2,3,4,3,3,15,4,3,3,3,3,16
